AIN,Street,City,State,ZIP,Price,LastSaleDate,YearBuild,Bedrooms,BathRooms,Sqft
2857010018,23933 VIA HAMACA                      ,SANTA CLARI,A ,913550000,1125011,20231220,1995,6,3,3355
3176014047,45549 7TH ST E                        ,LANCASTER C,  ,935350000,319003,20231107,1957,4,2,1204
2114003143,20235 KESWICK ST                      ,LOS ANGELES,CA,913060000,474004,20230301,1982,2,2,1021
3119016085,1217 AVENUE H4                       ,LANCASTER C,  ,935340000,399003,20230214,1989,4,3,1697
8065028005,14418 COSTA MESA DR                   ,LA MIRADA C,  ,906380000,1000010,20230711,1955,4,3,1907
3053055070,1948 SPANISH BROOM DR                ,PALMDALE CA,  ,935500000,580005,20231115,1989,4,3,2215
5264018004,1083 FULTON AVE                      ,MONTEREY PA,K ,917550000,1150011,20231221,1953,3,2,1573
4401012034,621 BARRINGTON AVE                  ,LOS ANGELES,CA,900490000,1200012,20230207,1982,2,2,1519
6145014021,1921 138TH ST                        ,COMPTON CA ,  ,902220000,625006,20230705,1951,4,2,2029
4230030098,4080 GLENCOE AVE                     ,MARINA DEL ,EY,902920000,1340013,20230912,2011,1,2,1530
2162007057,17943 MAGNOLIA BLVD                   ,LOS ANGELES,CA,913160000,805008,20230905,1975,3,3,1601
8022007009,11054 DUNE ST                         ,NORWALK CA ,  ,906500000,730007,20230908,1951,3,2,1181
7139017049,4015 VIRGINIA RD                     ,LONG BEACH ,A ,908070000,762007,20230612,1978,2,3,1774
7278006131,525 SEASIDE WAY                     ,LONG BEACH ,A ,908020000,739007,20230707,1990,2,2,1310
7216034028,2230 VILLAGE WAY                     ,SIGNAL HILL,CA,907550000,675006,20231024,1998,2,3,1214
7333021005,22612 ANCHOR AVE                      ,CARSON CA  ,  ,907450000,825008,20230728,1951,4,3,1505
2340015053,5837 WILKINSON AVE                   ,LOS ANGELES,CA,916070000,1450014,20230111,1984,3,3,1987
8406010010,1182 FAIRVALLEY AVE                  ,COVINA CA  ,  ,917220000,760007,20230201,1953,4,2,1470
8062008016,14931 TEMPLAR DR                      ,LA MIRADA C,  ,906380000,770007,20230404,1955,3,2,1272
8305019012,445 WILLAMETTE LN                   ,CLAREMONT C,  ,917110000,773007,20230831,1979,3,3,1854
2024023051,6855 MAYNARD AVE                     ,LOS ANGELES,CA,913070000,710007,20231228,1974,4,2,1410
2151034050,20757 BURBANK BLVD                    ,LOS ANGELES,CA,913670000,1091510,20230831,1959,3,2,1404
3141018051,44147 GINGHAM AVE                     ,LANCASTER C,  ,935350000,220002,20230210,1971,3,2,1098
2229008044,17335 VIA ALTO WAY                    ,LOS ANGELES,CA,914060000,1000010,20230727,2016,3,3,2218
2825010009,23842 DAISETTA DR                     ,SANTA CLARI,A ,913210000,785007,20230421,1966,4,3,1756
2826183037,27048 PAINTED SKY WAY                 ,VALENCIA CA,  ,913810000,599005,20230811,2021,2,3,1530
2276014077,14521 BENEFIT ST                      ,LOS ANGELES,CA,914030000,850008,20230308,1974,1,2,1396
4276009056,1117 18TH ST                         ,SANTA MONIC, C,904030000,1924019,20230328,2001,3,3,1836
8034029002,12203 SANTA GERTRUDES AVE             ,LA MIRADA C,  ,906380000,780007,20230721,1971,3,3,1748
4072009006,14619 BODGER AVE                      ,HAWTHORNE C,  ,902500000,825008,20230728,1952,3,1,995
7452015025,1262 2ND ST                          ,LOS ANGELES,CA,907320000,770007,20230207,1952,3,2,1116
8217027002,1109 FINEGROVE AVE                   ,HACIENDA HE,GH,917450000,770007,20231122,1958,2,2,1278
4330007043,1167 ROXBURY DR                      ,LOS ANGELES,CA,900350000,1006010,20230206,1974,1,2,1442
5714002022,111 ORANGE GROVE BLVD               ,PASADENA CA,  ,911050000,1020010,20230914,1974,2,2,1750
8269068014,3533 HERTFORD PL                     ,ROWLAND HEI,HT,917480000,1410014,20231219,1992,4,4,3013
2837032026,29085 MARILYN DR                      ,SANTA CLARI,A ,913870000,645006,20230109,1988,3,3,1675
8430013002,352 HURST ST                        ,COVINA CA  ,  ,917230000,790007,20230519,1955,4,2,1479
6251042017,10610 PARAMOUNT BLVD                  ,DOWNEY CA  ,  ,902410000,685006,20230407,2018,2,3,1845
8088018080,15822 VERNA LN                        ,LA MIRADA C,  ,906380000,890008,20230504,2014,3,3,1626
3135034055,623 TWINBERRY LN                    ,LANCASTER C,  ,935340000,395003,20230406,1990,4,2,1389
2842010031,26412 TORREYPINES DR                  ,SANTA CLARI,A ,913210000,710007,20230407,1966,3,2,1392
4248016014,12207 LAWLER ST                       ,LOS ANGELES,CA,900660000,2293522,20231027,1955,3,2,1564
3244096017,22420 CYPRESS PL                      ,SANTA CLARI,A ,913900000,820008,20230301,1988,4,3,2214
2552046005,7469 CHANTECLAIR CT                  ,LOS ANGELES,CA,910420000,1450014,20231122,2001,5,3,3326
3147010028,44508 CALSTON AVE                     ,LANCASTER C,  ,935350000,430004,20230906,1971,4,2,1574
7506010037,222 GUADALUPE AVE                   ,REDONDO BEA,H ,902770000,1550015,20230628,1986,4,3,2168
8701029125,23600 MONUMENT CANYON DR              ,DIAMOND BAR,CA,917650000,552005,20230426,1979,2,2,1048
2292003001,4333 EMPRESS AVE                     ,LOS ANGELES,CA,914360000,2650026,20230829,1957,5,4,3907
2032005004,24539 GILMORE ST                      ,LOS ANGELES,CA,913070000,1352013,20230714,1967,5,3,2520
8310010003,733 9TH ST                          ,CLAREMONT C,  ,917110000,1176011,20231213,1955,4,2,2368
3003067066,39544 COLCHESTER CT                   ,PALMDALE CA,  ,935510000,510005,20230622,1990,4,2,2112
2820018026,12243 KRISTOPHER PL                   ,LOS ANGELES,CA,913260000,1250012,20230602,1976,3,3,2783
8727017010,514 WHITEFORD AVE                   ,LA PUENTE C,  ,917440000,610006,20231220,1958,3,1,964
2836040176,26808 CLAUDETTE ST                    ,SANTA CLARI,A ,913510000,465004,20231011,1988,3,2,1001
3119026071,45631 17TH ST W                       ,LANCASTER C,  ,935340000,465004,20230831,1999,3,2,1880
4092013015,16717 ELGAR AVE                       ,TORRANCE CA,  ,905040000,1147511,20230616,1954,3,2,1683
2701034019,19911 MID PINES LN                    ,LOS ANGELES,CA,913260000,616006,20230929,1995,4,3,2688
4025021117,9127 CULLEN WAY                      ,INGLEWOOD C,  ,903050000,849008,20230922,2006,3,3,1846
2156025230,18645 HATTERAS ST                     ,LOS ANGELES,CA,913560000,394003,20230123,1973,1,1,758
8315008046,554 INDIAN HILL BLVD                ,CLAREMONT C,  ,917110000,698006,20230919,1995,3,3,1758
4072006006,14617 FONTHILL AVE                    ,HAWTHORNE C,  ,902500000,935009,20230622,1952,6,2,2757
6335025026,2560 VALENTINA WAY                   ,COMMERCE CA,  ,900400000,770007,20230118,2022,3,4,1610
4293001036,222 7TH ST                          ,SANTA MONIC, C,904020000,844008,20230501,1974,1,1,878
7214009039,2502 WILLOW ST                       ,SIGNAL HILL,CA,907550000,519005,20230411,1980,2,2,1157
2653014006,8524 SALOMA AVE                      ,LOS ANGELES,CA,914020000,660006,20230818,1955,3,2,1926
5259005202,432 ALHAMBRA AVE                    ,MONTEREY PA,K ,917550000,1030010,20230417,2020,3,3,1920
2366027141,4180 FAIR AVE                        ,STUDIO CITY,CA,916020000,899508,20230428,2006,2,2,1180
2120014014,17940 HATTON ST                       ,LOS ANGELES,CA,913350000,915009,20230807,1953,3,2,1275
4157029057,2216 CLARK LN                        ,REDONDO BEA,H ,902780000,1415014,20230112,2001,4,3,2318
