STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,ACCOUNTING_ENTRY,Accounting entry,FS_ENTRY,Flow or stock entry,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,793707,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,813551,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,837243,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,-220659,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,-221784,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,-240984,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,-275031,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,-310948,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,-257829,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,-264616,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,-276947,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,-297172,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,-307283,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,47707,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,52317,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,50176,,A,Normal value,6,Millions,USD,US dollar,2,Two
